id,reference_path,search_path,gt_x,gt_y,gt_box_x,gt_box_y,gt_box_w,gt_box_h,architecture,noise_bucket,beam_spot_size_nm,collapse_threshold_nm,dose_reference,dose_search,detector_noise_sigma_ref,detector_noise_sigma_search,shear_amplitude_px,drift_jitter_px,astigmatism_ratio,vignette_strength,gamma,barrel_distortion_k,charging_streak_prob,charging_streak_intensity,speckle_sigma,salt_pepper_prob,linewidth_bias_nm,corner_rounding_px,mat_size_nm,strip_width_nm,boundary_bias,scale_ratio,rotation_deg,seed
0,dataset/reference/00000.png,dataset/search/00000.png,844.6,285.6,794.6,235.60000000000002,100.0,100.0,dram_legacy,easy,3.5568512242015466,10.0,2845.820701454363,250.7897956848362,2.5513713804903873,5.642456836765533,0.6807609717062325,0.45941388575040926,0.9520399083786941,0.0,0.9803032426819314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.55,10.0,0.0,7
1,dataset/reference/00001.png,dataset/search/00001.png,253.8,916.1,203.8,866.1,100.0,100.0,dram_legacy,easy,4.110462701032697,10.0,2675.45704017945,395.7847305519024,2.092395583196311,5.267017398972479,0.9519042835756305,0.4105223924431114,1.077125133231946,0.0,0.9513970780723694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.55,10.0,0.0,7
2,dataset/reference/00002.png,dataset/search/00002.png,818.9,220.6,768.9,170.6,100.0,100.0,dram_loose,easy,3.7391207570260683,10.0,2655.4857883693976,350.4762909568732,2.41430066171934,5.3370180332338375,0.4840239798897408,0.41460786495145857,1.0032812551184747,0.0,1.0449534852006896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.55,10.0,0.0,7
3,dataset/reference/00003.png,dataset/search/00003.png,559.2,950.0,509.20000000000005,900.0,100.0,100.0,dram_dense,easy,3.383787813655733,10.0,2809.94417665668,328.97053309455396,1.1965833023360652,4.075038825535699,0.47591637916116497,0.4783541917269438,0.9037743345166499,0.0,1.04062515748401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.55,10.0,0.0,7
4,dataset/reference/00004.png,dataset/search/00004.png,558.6,557.8,508.6,507.79999999999995,100.0,100.0,dram_compact,easy,4.991465224812167,10.0,2833.849799544321,323.0873176576618,1.1898083887208377,4.1137031545245755,0.8446675934665495,0.3688200052906702,0.9429796906283237,0.0,0.9947135610542815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.55,10.0,0.0,7
5,dataset/reference/00005.png,dataset/search/00005.png,591.7,114.3,541.7,64.3,100.0,100.0,dram_1x,easy,3.732802971456082,10.0,2521.347409325478,280.0719671102136,2.68883449026308,4.847080644905075,0.48342746388220825,0.39163702713037685,0.8983534846182144,0.0,1.0328329578577904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.55,10.0,0.0,7
6,dataset/reference/00006.png,dataset/search/00006.png,237.8,905.4,187.8,855.4,100.0,100.0,dram_loose,easy,3.962732667886912,10.0,1792.4131491380883,377.2657489069946,1.178685502988783,4.4434307683191765,0.5843512349109322,0.3611001483760254,0.9714999454795347,0.0,1.0330813829618335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.55,10.0,0.0,7
7,dataset/reference/00007.png,dataset/search/00007.png,298.6,110.5,248.60000000000002,60.5,100.0,100.0,dram_1x,easy,4.555211496716826,10.0,2659.3545902588035,398.9995493965733,2.9840056637328813,4.154766982449487,0.7939498905415155,0.48840098725794456,1.1177563260373964,0.0,1.025504813061578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.55,10.0,0.0,7
8,dataset/reference/00008.png,dataset/search/00008.png,237.4,476.2,187.4,426.2,100.0,100.0,dram_legacy,easy,3.0371632929625028,10.0,1518.5543223502343,341.02760291305685,2.482050352128388,4.673366831179621,0.7261318142612544,0.3142036515179371,1.0289066541444356,0.0,1.0165324918340155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.55,10.0,0.0,7
9,dataset/reference/00009.png,dataset/search/00009.png,417.3,459.2,367.3,409.2,100.0,100.0,dram_legacy,easy,4.391390320144604,10.0,2129.8941874934303,393.9662573284272,2.351245729977337,5.064504342287481,0.5242707100054657,0.32041785707043696,0.9234567983556835,0.0,1.029315670955831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.55,10.0,0.0,7
10,dataset/reference/00010.png,dataset/search/00010.png,125.46018480906928,313.1748333705382,69.90462925351372,257.61927781498264,111.11111111111111,111.11111111111111,dram_loose,scale_rot,7.923011898130353,10.0,2300.822939146054,185.47836923036073,2.8039846239081614,7.212656096806808,0.9746510525320975,0.6871309281621122,0.9862237076099066,0.0,1.0353473734878096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,9.0,1.0,7
11,dataset/reference/00011.png,dataset/search/00011.png,893.7254411130501,211.56436838450242,841.0938621656817,158.932789437134,105.26315789473684,105.26315789473684,dram_compact,scale_rot,6.152078633434216,10.0,2511.2612260190886,213.0550206602667,2.3052739783289815,6.975883394226633,0.9953331346891293,0.6555329968355738,1.0257002249863982,0.0,0.9711695926235907,0.0,2.7257463021273103,1.1624175719752263,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,9.5,-1.0,7
12,dataset/reference/00012.png,dataset/search/00012.png,720.6386471130672,146.76997709973762,673.0195994940196,99.15092948069,95.23809523809524,95.23809523809524,dram_dense,scale_rot,6.9731424591801385,10.0,1582.4442342428274,178.33158721299358,1.2058958817918857,6.658372742025448,0.9377579569239262,0.40593707240942023,0.9640028975844265,0.0,1.0119156705442987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,10.5,1.5,7
13,dataset/reference/00013.png,dataset/search/00013.png,271.2173569257711,440.0815451114228,225.7628114712257,394.6269996568774,90.9090909090909,90.9090909090909,dram_1x,scale_rot,4.295935767133475,10.0,2524.1829678280696,198.05660869669913,2.603473561337615,6.2920726431951755,1.741028545576508,0.4119121392148046,1.0812184162258711,0.0,0.9993627319015137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,11.0,-1.5,7
14,dataset/reference/00014.png,dataset/search/00014.png,331.4008884013715,950.6029637343478,275.84533284581596,895.0474081787922,111.11111111111111,111.11111111111111,dram_loose,scale_rot,7.571197842792952,10.0,1880.5192942837575,161.79122810643577,1.980947605206587,5.193194879351763,1.2455089927919345,0.6970626984837279,1.012647787377178,0.0,0.94975305380144,0.0,3.6490744800493964,1.8817566453436048,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,9.0,2.0,7
15,dataset/reference/00015.png,dataset/search/00015.png,907.5123451298053,463.77885817256845,854.8807661824369,411.1472792252,105.26315789473684,105.26315789473684,dram_legacy,scale_rot,3.600348562376614,10.0,2230.3965686186075,160.9194126820786,2.2620620629639507,6.190908092940604,1.1115010462593213,0.5225913226990476,0.8984493140449353,0.0,1.0194307675291598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,9.5,-2.0,7
16,dataset/reference/00016.png,dataset/search/00016.png,396.7713558129976,560.6513499300569,349.15230819395003,513.0323023110093,95.23809523809524,95.23809523809524,dram_dense,scale_rot,6.485306282859774,10.0,2015.9465915733124,211.3594956224832,2.562574416138548,7.360991531072339,1.2313305076900127,0.6422651524234425,0.9635300883622514,0.0,0.9748275272407777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,10.5,1.2,7
17,dataset/reference/00017.png,dataset/search/00017.png,763.2250973717416,66.59933676735487,717.7705519171961,21.144791312809417,90.9090909090909,90.9090909090909,dram_dense,scale_rot,6.227735556584278,10.0,1627.8731197075301,194.9466935911793,1.1050005880392704,6.720198376443776,1.7620139813872133,0.7002431593698321,1.0197898168626984,0.0,0.9134084848904154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,11.0,-1.2,7
18,dataset/reference/00018.png,dataset/search/00018.png,170.00828608879846,795.511107116061,114.4527305332429,739.9555515605055,111.11111111111111,111.11111111111111,dram_compact,scale_rot,7.0026584970049885,10.0,1902.1309141842275,232.4127015294858,2.6226181441426437,6.7956924659842874,1.4719813638799444,0.6800925969594698,0.9283706096816515,0.0,0.9485004017384722,0.0,2.4067847036526646,1.2277357588945952,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,9.0,1.8,7
19,dataset/reference/00019.png,dataset/search/00019.png,150.60615656727975,107.64985486661556,105.1516111127343,62.1953094120701,90.9090909090909,90.9090909090909,dram_dense,scale_rot,3.149917533585835,10.0,2167.030844492511,216.9943141846508,2.0570591465616124,5.401183161211483,1.570283722713227,0.5486062029833935,0.9996904715500743,0.0,0.9563755004103169,0.0,1.795913967898902,1.1132279518113402,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,11.0,-1.8,7
20,dataset/reference/00020.png,dataset/search/00020.png,247.82411861887934,840.3551086907693,197.92391901808094,790.4549090899709,99.8003992015968,99.8003992015968,dram_loose,hard_noise,6.415819301317581,10.0,1854.6337759538608,81.11549278639704,2.1963873850381255,9.820178429117213,2.409283597952388,0.7467321221745601,1.1144067556925183,0.0,0.8886584108105531,0.0,3.8131827711066126,1.0135820336895291,0.0,0.008097895599949197,0.0,0.0,2600.0,320.0,0.35,10.02,1.7195480144013797,7
21,dataset/reference/00021.png,dataset/search/00021.png,276.2356086747422,679.4297744008953,228.379559670148,631.5737253963011,95.71209800918835,95.71209800918835,dram_1x,hard_noise,5.197241800822088,10.0,2473.8306238738724,87.86004281126291,2.5114458343069073,8.505573416959813,2.0877625683081247,0.9593146058009939,0.9195814813120866,0.0,0.9854958222722604,0.0,3.5121508344562047,1.7135142002910042,0.0,0.0030137031594480172,0.0,0.0,2600.0,320.0,0.35,10.448,-0.5737715543588982,7
22,dataset/reference/00022.png,dataset/search/00022.png,401.5270119988999,275.9031070472717,351.86964781179097,226.24574286016275,99.31472837421789,99.31472837421789,dram_wide,hard_noise,5.7943362656827935,10.0,1969.2147597172575,112.9745173616097,1.45408850954636,8.969735117738184,2.3626100883389234,0.7654441067598586,0.9347421056704032,0.0,0.9596393341617171,0.0,3.138406517101644,1.3875213216871751,0.0,0.0032407574580019054,0.0,0.0,2600.0,320.0,0.35,10.069,0.8863724565650433,7
23,dataset/reference/00023.png,dataset/search/00023.png,140.243473062287,615.0218392807432,85.21981288841224,559.9981791068684,110.04732034774953,110.04732034774953,dram_1x,hard_noise,7.264144511570676,10.0,1831.558921609388,82.0146112334231,1.2032289379998784,9.317090536424482,1.7126335201714848,0.7731148714395992,1.058997076674941,0.0,0.8696550732909899,0.0,1.6778749902845942,1.4871829691422542,0.0,0.009649167350738399,0.0,0.0,2600.0,320.0,0.35,9.087,-1.6075227672568153,7
